Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus tyrannus,null,12276,JIGA,American Museum of Natural History,1919,5,12,Canada,Ontario,null,Coldstream,null,13.6,7.4,6,18.7,40.3,121.5,81,Adult,Male
Tyrannus tyrannus,null,25635,JIGA,American Museum of Natural History,1842,null,null,United States of America,Pennsylvania,null,Pennsylvania,null,14.5,7.4,6.4,18.1,39.75,120.5,78,Adult,Male
Tyrannus caudifasciatus,flavescens,42645,JIGA,American Museum of Natural History,1802,3,null,Cuba,null,null,null,null,19.1,8.8,6.7,22.7,22.85,102.5,80,Adult,Male
Tyrannus caudifasciatus,bahamensis,42650,JIGA,American Museum of Natural History,1886,4,7,Bahamas,null,null,Abaco,null,20.8,9.4,7.3,21.65,null,null,null,Adult,Unknown
Tyrannus tyrannus,null,42885,JIGA,American Museum of Natural History,null,null,null,Panama,null,null,null,null,14.3,7.8,5.8,18.35,42.5,121.5,83,Adult,Male
Tyrannus tyrannus,null,47452,JIGA,American Museum of Natural History,1889,6,5,Canada,British Columbia,null,Mt. Lehman,null,13.3,7.4,6,18.8,39.35,119,78,Adult,Male
Tyrannus caudifasciatus,flavescens,57112,JIGA,American Museum of Natural History,1892,3,1,Cuba,null,null,Trinidad,null,20.6,8.7,7.2,22.4,23.25,107,85,Adult,Male
Tyrannus caudifasciatus,flavescens,57114,JIGA,American Museum of Natural History,1892,3,2,Cuba,null,null,Trinidad,null,21.2,8.7,7.4,22.4,23.15,107,86,Adult,Male
Tyrannus caudifasciatus,flavescens,57119,JIGA,American Museum of Natural History,1892,3,12,Cuba,null,null,Trinidad,null,19.4,8.8,6.8,23.35,24.35,108,85,Adult,Male
Tyrannus caudifasciatus,flavescens,57122,JIGA,American Museum of Natural History,1892,3,28,Cuba,null,null,Trinidad,null,20.7,8.5,7.4,22.75,24.6,105.5,83,Adult,Male
Tyrannus caudifasciatus,flavescens,57123,JIGA,American Museum of Natural History,1892,3,28,Cuba,null,null,Trinidad,null,21,8.4,7.2,22.95,23.9,103.5,83,Adult,Male
Tyrannus savana,sanctaemartae,70874,JIGA,American Museum of Natural History,1899,1,23,Colombia,null,null,Bonda Santa Marta,null,11.7,6.2,5.1,17.15,31.9,99.5,null,Adult,Female
Tyrannus savana,sanctaemartae,70877,JIGA,American Museum of Natural History,1898,9,10,Colombia,null,null,Cienaga de Santa Marta,null,11.2,5.9,5,16.9,null,92.5,null,Juvenile,Unknown
Tyrannus savana,sanctaemartae,72554,JIGA,American Museum of Natural History,1899,1,28,Colombia,null,null,Bonda Santa Marta,null,11.9,5.8,5.2,17.05,38.1,108.5,234,Adult,Male
Tyrannus savana,sanctaemartae,72556,JIGA,American Museum of Natural History,1899,1,31,Colombia,null,null,Bonda Santa Marta,null,12.2,5.9,5.4,18.15,38.05,106.5,298,Adult,Male
Tyrannus savana,sanctaemartae,72557,JIGA,American Museum of Natural History,1899,2,4,Colombia,null,null,Bonda Santa Marta,null,11.6,6.4,5.4,17.55,36,106.5,291,Adult,Male
Tyrannus savana,sanctaemartae,72558,JIGA,American Museum of Natural History,1899,2,22,Colombia,null,null,Bonda Santa Marta,null,12.4,6.3,5.5,17.65,31,97.5,199,Adult,Male
Tyrannus savana,sanctaemartae,72559,JIGA,American Museum of Natural History,1899,5,29,Colombia,Bonda,null,"Valparaiso, Bonda, Calif.",null,12.3,6.1,5.3,18.15,null,null,226,Adult,Male
Tyrannus crassirostris,pompalis,91524,JIGA,American Museum of Natural History,1903,12,20,Mexico,Sinaloa,null,Escuinapa,100 feet,20.3,11.6,10.9,20.65,43.05,138,98,Adult,Male
Tyrannus crassirostris,pompalis,91525,JIGA,American Museum of Natural History,1903,12,22,Mexico,Sinaloa,null,Escuinapa,100 feet,20.5,12.4,11.1,21.8,33.35,126.5,95,Adult,Male
Tyrannus crassirostris,pompalis,91526,JIGA,American Museum of Natural History,1903,12,24,Mexico,Sinaloa,null,Escuinapa,100 feet,21.2,12.3,11.3,22.55,38.9,133.5,91,Adult,Male
Tyrannus crassirostris,pompalis,91527,JIGA,American Museum of Natural History,1904,1,30,Mexico,Sinaloa,null,Escuinapa,null,20.7,11.4,11.4,22.05,38.5,128,90,Adult,Female
Tyrannus crassirostris,pompalis,91528,JIGA,American Museum of Natural History,1904,1,30,Mexico,Sinaloa,null,Escuinapa,null,20.7,10.7,10.5,20.25,40.45,130.5,94,Adult,Female
Tyrannus crassirostris,pompalis,91529,JIGA,American Museum of Natural History,1904,3,10,Mexico,Sinaloa,null,Escuinapa,null,21.4,11.6,11.1,22.05,40.7,131,90,Adult,Female
Tyrannus crassirostris,pompalis,91530,JIGA,American Museum of Natural History,1904,3,12,Mexico,Sinaloa,null,Escuinapa,null,20.5,11.8,10,21.2,40.75,130,96,Adult,Male
Tyrannus crassirostris,pompalis,91531,JIGA,American Museum of Natural History,1904,4,2,Mexico,Sinaloa,null,Escuinapa,null,21.2,12.1,11.2,20.9,34.7,125.5,91,Adult,Male
Tyrannus savana,sanctaemartae,97046,JIGA,American Museum of Natural History,1898,9,9,Colombia,null,null,Cienaga de Santa Marta,null,11.9,6.1,5.5,17.25,null,null,null,Adult,Male
Tyrannus savana,sanctaemartae,97047,JIGA,American Museum of Natural History,1899,9,12,Colombia,null,null,Cienaga de Santa Marta,null,12.1,6.1,4.9,17.05,null,null,177,Adult,Male
Tyrannus savana,sanctaemartae,97669,JIGA,American Museum of Natural History,1899,2,4,Colombia,null,null,Bonda Santa Marta,null,12.4,6.2,5.4,17.35,32.75,98,198,Adult,Female
Tyrannus crassirostris,pompalis,104825,JIGA,American Museum of Natural History,1905,1,4,Mexico,Tepic,null,Amatlan de Canas,null,18.6,11.6,10.4,21.5,33.55,125.5,96,Adult,Male
Tyrannus crassirostris,pompalis,104826,JIGA,American Museum of Natural History,1905,2,1,Mexico,Tepic,null,"Ojo de Agua, near Amatlan de Canas",null,19.3,11.4,10.4,21.3,39.7,132,87,Adult,Male
Tyrannus crassirostris,pompalis,104827,JIGA,American Museum of Natural History,1905,2,20,Mexico,Tepic,null,"Estancia, near Amatlan de Canas",null,19.7,11.4,10.5,21.55,35.15,129.5,93,Adult,Female
