taxon_name;family_name;date;sex;age;length;rwing;rtarsu;blenght;bheight;bwidth;occiput;tail;bmass
Ammodramus humeralis;Passerellidae;1999-02-07;I;I;-;6;1.98;1.15;0.59;-;-;4.66;17.5
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;-;5.6;2;1.37;0.6;-;-;4.2;-
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;10;5.5;-;1.47;0.64;-;-;4.25;16
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;11.3;5.6;1.92;1.24;0.65;-;-;4.2;17
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;12.5;5.4;1.88;1.1;0.59;-;-;4.84;15.5
Ammodramus humeralis;Passerellidae;1999-02-28;I;I;11.8;6.2;1.95;1.06;0.62;-;-;4.5;18.5
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;12;5.8;1.98;1.09;0.62;-;-;4.62;16
Ammodramus humeralis;Passerellidae;1999-02-28;I;A;13;-;-;1.1;0.64;-;-;4.1;18
Ammodramus humeralis;Passerellidae;1999-03-06;I;A;13.4;5.7;1.94;1.11;0.57;-;-;4.74;19
Ammodramus humeralis;Passerellidae;1999-03-06;I;A;10;5.5;1.91;1.14;0.62;-;-;-;17
Ammodramus humeralis;Passerellidae;1999-03-07;I;I;11.5;5.3;1.91;1.07;0.58;-;-;4.07;15.5
Ammodramus humeralis;Passerellidae;1999-03-23;I;A;11.7;5.6;1.76;1;0.62;-;-;3.81;17
Ammodramus humeralis;Passerellidae;1999-03-23;I;A;11.9;5.7;1.94;1.06;0.63;-;-;4.7;14.5
Ammodramus humeralis;Passerellidae;1999-05-01;I;A;12.8;5.9;2;1.2;0.61;-;-;5.01;17
Ammodramus humeralis;Passerellidae;1999-05-01;I;A;13.2;5.8;2.07;1.12;0.68;-;-;4.49;18
Ammodramus humeralis;Passerellidae;1999-05-01;I;A;12.6;5.7;1.94;1.26;0.62;0.81;2.77;4.18;18
Ammodramus humeralis;Passerellidae;1999-07-10;I;A;11.1;5.5;1.95;1.19;0.69;0.79;-;4.48;15.5
Ammodramus humeralis;Passerellidae;1999-08-29;I;A;11.6;5.9;2.21;1.15;0.65;0.68;2.89;4.88;18
Ammodramus humeralis;Passerellidae;1999-11-06;I;A;11.7;5.7;1.95;1.22;0.63;0.8;2.84;4.7;17
Ammodramus humeralis;Passerellidae;1999-11-06;I;A;11.9;5.6;2.05;1.28;0.66;0.73;2.91;4.79;17
Ammodramus humeralis;Passerellidae;1999-11-06;I;A;11.7;6;1.09;1.23;0.63;0.8;2.82;4.99;17.5
Ammodramus humeralis;Passerellidae;1999-11-06;I;A;11.4;5.6;1.96;1.12;0.61;0.79;2.87;4.74;18
Ammodramus humeralis;Passerellidae;1999-11-06;I;A;11.8;5.6;1.96;1;0.58;0.72;2.81;5.15;18
Ammodramus humeralis;Passerellidae;2000-02-19;I;A;11.6;5.8;1.97;1.21;0.64;0.84;2.77;4.92;18.5
Ammodramus humeralis;Passerellidae;2000-02-20;I;A;11.3;5.6;2.04;1.24;0.66;0.89;2.83;4.72;17.5
Ammodramus humeralis;Passerellidae;2000-08-05;I;A;12.7;5.6;1.91;1.06;0.63;0.72;2.8;4.74;15.2
Ammodramus humeralis;Passerellidae;2000-08-06;I;A;11.7;5.7;1.89;1.11;0.65;0.82;2.81;4.83;16.1
Ammodramus humeralis;Passerellidae;2000-08-06;I;A;12;5.9;1.95;1.08;0.65;0.86;3.9;4.82;16.6
Ammodramus humeralis;Passerellidae;2000-08-06;I;A;12;6;2;1.16;0.64;0.79;2.83;4.98;-
Ammodramus humeralis;Passerellidae;2000-08-20;I;A;11.7;-;1.94;1.1;0.68;0.91;2.92;4.7;17.8
Ammodramus humeralis;Passerellidae;2000-09-16;I;A;12;5.8;2.07;1.05;0.68;0.79;2.94;4.68;17.7
Ammodramus humeralis;Passerellidae;2000-09-17;I;A;13.5;6.5;1.96;1.26;0.63;0.59;2.86;4.34;18
Ammodramus humeralis;Passerellidae;2000-09-17;I;A;13;6.7;2.13;1.43;0.72;0.62;2.77;4.42;19.3
Ammodramus humeralis;Passerellidae;2000-10-07;I;A;12;5.8;1.89;1.09;0.64;0.88;2.74;5.05;16.8
Ammodramus humeralis;Passerellidae;2000-10-07;I;A;12;5.7;1.94;1.01;0.61;0.74;2.89;4.63;15.6
Ammodramus humeralis;Passerellidae;2000-10-21;I;A;13;5.6;1.76;1.21;0.65;0.62;2.1;4.56;17.7
Ammodramus humeralis;Passerellidae;2001-01-09;I;A;12;5.8;1.93;1.11;0.68;0.87;2.94;4.46;16.4
Ammodramus humeralis;Passerellidae;2001-04-09;I;A;11.7;5.6;1.91;1.15;0.72;0.94;2.83;4.62;16.9
Ammodramus humeralis;Passerellidae;2001-04-09;I;A;11.9;5.7;2;1.28;0.76;0.8;2.8;4.89;17.6
Ammodramus humeralis;Passerellidae;2001-04-09;I;A;11.6;5.6;1.96;1.01;0.57;0.91;2.74;4.42;16.4
Ammodramus humeralis;Passerellidae;2001-04-09;I;A;11.6;5.5;1.92;1.09;0.68;0.89;2.83;4.63;17.8
Ammodramus humeralis;Passerellidae;2001-04-09;I;A;11.9;5.7;2.02;1.24;0.64;0.77;2.89;4.66;16.7
Ammodramus humeralis;Passerellidae;2005-02-26;I;A;12.8;-;-;-;-;-;-;-;18.9
Ammodramus humeralis;Passerellidae;2005-02-27;M;A;12.4;5.6;2.08;1.09;1.23;0.94;2.97;4.5;17.4
Ammodramus humeralis;Passerellidae;2005-02-27;M;A;12;-;-;-;-;-;-;-;18.4
Ammodramus humeralis;Passerellidae;2005-02-27;F;A;11.9;-;-;-;-;-;-;-;18.1
Ammodramus humeralis;Passerellidae;2005-02-27;M;A;12.5;-;-;-;-;-;-;-;18.4
